Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Edoardo Bove,0(1),4,-,-,-,1,-,-,-,1,-,6.03
Harry Ashfield,0(1),3,-,-,-,-,-,-,-,-,-,6.03
Kanya Fujimoto,0(2),2,-,-,-,0.5,-,-,-,-,-,6.03
Milan Smit,3(1),223,-,-,0.8,0.3,-,0.5,0.8,-,1.5,6.03
Tom Bradshaw,0(5),64,-,-,0.2,0.2,-,0.6,-,0.2,0.8,6.02
Finley Munroe,0(2),6,-,-,0.5,-,-,0.5,-,0.5,-,6.02
Jahnoah Markelo,0(1),8,-,-,-,-,-,-,-,-,-,6.02
Tom Watson,1(2),107,-,-,0.7,-,0.3,1,-,0.7,1.3,6.02
Neto Borges,0(3),10,-,-,-,-,-,-,-,-,-,6.02
Devlan Moses,0(4),16,-,-,-,0.3,-,-,-,0.3,0.3,6.02
Bobby Wales,0(4),22,-,-,0.5,-,-,-,0.3,0.3,0.3,6.01
Jacob Farrell,0(1),7,-,-,-,-,-,1,-,-,-,6.01
Fally Mayulu,1(9),131,-,-,0.3,-,-,0.1,0.2,0.2,0.8,6.01
Micah Hamilton,1(3),51,-,-,0.3,0.3,-,-,0.3,0.8,0.5,6.01
Cruz Allen,0(1),1,-,-,-,-,-,-,-,-,-,6
Franco Umeh,0(1),1,-,-,-,-,-,-,-,-,1,6
Noah Mawene,0(1),1,-,-,-,-,-,-,-,1,-,6
Pierre Dwomoh,0(1),1,-,-,-,-,-,-,-,-,-,6
Tammer Bany,0(1),1,-,-,-,-,-,-,-,-,2,6
Tom Dele-Bashiru,0(1),4,-,-,1,-,-,-,-,-,-,6
Wes Harding,2(6),201,-,-,-,-,-,0.1,0.3,0.3,0.3,6
James Morris,0(2),4,-,-,-,-,-,-,-,-,-,6
Jay Rodriguez,0(4),7,-,-,0.5,-,-,-,-,0.3,0.5,6
Toby Collyer,0(1),14,-,-,-,-,-,1,-,-,1,5.99
Joe Aribo,1(1),104,-,-,0.5,0.5,-,-,-,-,1.5,5.99
Nathan Dlamini,0(4),26,-,-,-,-,-,-,-,-,1,5.99
Aji Alese,0(1),4,-,-,-,-,-,-,-,-,-,5.98
Joe Emery,0(1),3,-,-,-,-,-,-,-,-,-,5.98
Joe Aribo,0(7),111,-,-,-,-,0.1,-,-,0.3,0.4,5.98
Damion Downs,1(10),277,-,1,0.7,0.1,0.1,0.1,0.2,0.4,0.7,5.97
Kevin Nisbet,0(2),13,-,-,1,-,-,0.5,-,0.5,1,5.97
Archie Baptiste,0(1),1,-,-,-,-,-,-,-,-,-,5.97
Josh Laqeretabua,0(1),2,-,-,-,-,-,-,-,-,1,5.97
Marcus Forss,0(1),1,-,-,-,-,-,1,-,-,1,5.97
Nicholas Oyekunle,0(2),29,-,-,-,-,-,-,-,0.5,-,5.97
Aodhan Doherty,1(2),85,-,-,-,-,-,0.3,-,0.3,2,5.97
Louie Sibley,0(3),19,-,-,0.3,-,-,-,0.3,0.3,0.3,5.96
Matty Godden,1(5),137,-,-,1,-,-,-,0.3,-,1,5.96
Davis Keillor-Dunn,0(1),18,-,-,-,-,1,-,-,1,-,5.96
Yunus Konak,1(2),102,-,-,-,-,-,2,-,0.7,0.7,5.95
Seny Dieng,1,90,-,-,-,-,-,1,-,-,-,5.93
Jack Grieves,0(1),18,-,-,-,-,-,-,-,-,-,5.91
Taylor Gardner-Hickman,0(1),1,-,-,-,-,-,-,-,-,-,5.88
