Player,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Eric-Junior Bocat,9(7),813,1,0.1,23.1,75.9,0.3,1.1,-,6.48
Sam Bell,1(5),147,1,0.3,4.5,51.9,-,0.2,-,6.48
Divin Mubama,20(5),1611,1,0.3,9.7,74.4,-,0.2,-,6.48
Jeffrey Schlupp,4(5),421,1,0.6,26,80.8,-,1,-,6.48
Brad Potts,3(2),199,1,1,12,68.3,0.2,-,-,6.48
George Edmundson,4(3),218,-,-,15.3,84.1,-,0.6,-,6.47
Wes Burns,4(5),354,1,0.9,8.7,78.2,0.2,0.4,-,6.47
George Pratt,11,813,1,0.2,30.6,71.5,0.1,2.3,-,6.47
Liberato Cacace,8(4),722,-,0.7,20.1,73.4,0.6,0.7,-,6.47
Jens Cajuste,13(13),1127,3,0.6,18.9,82.5,0.1,0.8,0.2,6.47
Oliver Skipp,21(2),1800,-,0.3,30.9,83.8,-,0.7,-,6.47
Will Smallbone,4(2),302,-,0.5,14.2,69.4,0.3,0.7,-,6.47
Tom Atcheson,3(2),318,-,0.4,32.8,64.6,-,1.4,-,6.47
Ki-Jana Hoever,1(3),96,-,0.8,11.5,73.9,-,0.5,-,6.47
Mark Sykes,16(10),1393,1,0.5,21.2,72.6,0.3,0.8,-,6.47
Will Vaulks,15(12),1528,-,0.8,30,75.3,0.4,2.3,-,6.47
Hamza Choudhury,13(10),1087,-,0.4,28.7,86,0.1,0.7,-,6.47
Darragh Lenihan,1(1),91,-,-,17.5,88.6,-,0.5,-,6.47
Richard O'Donnell,2,180,-,-,32,37.5,-,7,-,6.47
Daniel Jebbison,14(11),1323,2,0.6,8.2,71.2,-,0.1,-,6.46
Max Johnston,9,786,-,0.3,20.1,69.1,1.1,1.6,-,6.46
Thierno Ballo,18(7),1470,4,0.6,14,68.9,0.2,0.3,0.1,6.46
Curtis Nelson,0(2),46,-,-,2,75,-,0.5,-,6.46
Will Keane,0(2),24,-,-,2.5,80,-,-,-,6.46
Rob Apter,8(5),589,-,0.9,9.4,70.5,0.8,0.1,-,6.45
Jack Taylor,17(10),1498,1,0.6,28.7,84.9,-,1.6,0.2,6.45
Koki Saito,19(7),1610,2,0.7,16.6,78.7,0.1,0.3,-,6.45
Andre Dozzell,29,2502,1,0.7,35.9,84.1,0.4,2.4,-,6.45
Paul Smyth,13(11),1117,-,0.4,9,75.8,0.4,0.2,-,6.45
Joe Rankin-Costello,5(8),532,-,0.4,14.5,74.5,0.1,0.9,-,6.45
Joshua Key,18(6),1638,-,0.7,36.4,80.8,0.6,1,-,6.45
Oscar Fraulo,1(6),200,-,0.9,10.1,76.1,0.3,0.1,-,6.44
Florian Bianchini,6(4),513,1,0.5,12.1,76.9,0.5,0.5,-,6.44
Ethan Horvath,14,1260,-,-,32.9,41,-,4.5,-,6.44
Nik Prelec,12(6),1059,1,0.6,12.1,63.1,0.1,0.2,-,6.43
Jordan Williams,10(13),1184,1,0.4,17.5,75.7,0.2,0.8,-,6.43
Myles Peart-Harris,8,632,-,0.5,18.9,68.2,0.3,0.3,-,6.43
Tatsuki Seko,19(13),1816,1,0.4,25.6,79.6,0.1,1.7,-,6.43
Augustus Kargbo,3(7),446,1,0.4,7.8,66.7,0.5,0.1,0.1,6.43
Ben Davies,7(3),644,-,-,29.2,88,-,2.2,-,6.43
Tom Fellows,3,233,-,1.3,17,90.2,1.7,0.7,-,6.43
Jayson Molumby,19(7),1853,1,0.7,42.8,87.1,0.2,1.4,-,6.42
Max O'Leary,5,450,-,-,30,62.7,-,6.6,-,6.42
Giorgi Chakvetadze,11(6),960,1,1,24.4,84.1,0.3,0.8,0.1,6.42
Taylor Gardner-Hickman,16(4),1323,-,0.8,27.6,70.3,0.6,2,0.1,6.42
Marc Leonard,5(10),686,-,0.3,31.9,84.9,0.2,1.3,-,6.42
Eiran Cashin,3(8),416,-,0.1,21.8,80.8,-,0.9,-,6.42
Bobby De Cordova-Reid,16(8),1201,1,0.3,18.7,85.5,-,0.8,0.1,6.42
Tomás Rigo,15(9),1285,-,0.5,21.3,78.9,0.2,1.3,-,6.42
Karamoko Dembélé,17(11),1529,-,0.8,14.9,78.5,0.6,0.9,-,6.42
Shane Duffy,3(1),260,-,1.3,47.3,85.2,-,3.3,0.3,6.42
Stanley Mills,16(14),1467,1,0.7,11.4,50.3,0.4,0.5,-,6.42
Charlie Taylor,15(5),1327,-,0.3,36.2,84.3,0.2,2.7,-,6.41
Zeidane Inoussa,12(13),1085,2,0.6,13.2,77.9,0.1,0.2,-,6.41
David Strelec,11(8),985,-,0.6,9.4,70.9,-,0.2,0.1,6.41
Cameron Pring,7(6),717,-,0.3,25.8,75.6,0.2,1.2,-,6.41
Paul Nardi,15(1),1421,-,0.1,28.7,60.1,-,5.8,-,6.41
Cathal McCarthy,1(4),228,-,-,16.2,81.5,-,-,-,6.41
Sam Field,9(9),853,1,0.2,15.8,75.4,0.1,0.4,-,6.41
Nicolas Schmid,22,1916,-,-,43.3,52.4,-,7.7,-,6.41
Mirko Topic,13(3),1039,-,0.5,33.4,83.4,-,1,-,6.4
Jay Fulton,8(14),791,-,0.2,19.2,79.2,-,0.4,-,6.4
Jay Robinson,7(18),879,1,0.4,7.9,70.6,0.1,0.2,-,6.4
Jamaal Lascelles,1(1),87,-,-,18,83.3,-,1,-,6.4
Lamine Cissé,11(12),1062,3,0.7,12.1,72.8,0.1,0.5,-,6.4
Derek Mazou-Sacko,8(4),682,-,0.2,18.8,85,-,0.7,-,6.4
Joel Ward,1(3),110,-,0.3,11.8,57.4,-,0.8,-,6.4
Mathias Kvistgaarden,4(19),538,1,0.3,5,69,-,0.1,-,6.4
Hayden Matthews,7(4),651,-,-,33.3,85,0.1,1.3,-,6.4
Aynsley Pears,12(1),1081,-,-,27.9,55.4,-,5.3,-,6.39
